No,year,month,day,hour,season,DEWP,HUMI,PRES,TEMP,Iws,precipitation,Iprec,Air Quality,cbwd_new
17508,2011,12,31,11,4,0.0,56.99,1030.1,8.0,2.0,0.0,0.0,3,3
17509,2011,12,31,12,4,-1.0,49.51,1029.1,9.0,2.0,0.0,0.0,3,1
17510,2011,12,31,13,4,-1.0,46.29,1027.1,10.0,2.0,0.0,0.0,3,2
17511,2011,12,31,14,4,-1.0,43.31,1027.1,11.0,2.0,0.0,0.0,3,4
17513,2011,12,31,16,4,-1.0,46.29,1026.1,10.0,7.0,0.0,0.0,3,4
17514,2011,12,31,17,4,-1.0,49.51,1027.1,9.0,10.0,0.0,0.0,3,4
17515,2011,12,31,18,4,0.0,56.99,1027.1,8.0,3.0,0.0,0.0,3,3
17516,2011,12,31,19,4,-1.0,56.72,1028.1,7.0,2.0,0.0,0.0,3,1
17517,2011,12,31,20,4,1.0,65.59,1028.1,7.0,2.0,0.0,0.0,3,2
17518,2011,12,31,21,4,1.0,65.59,1028.1,7.0,4.0,0.0,0.0,3,2
17519,2011,12,31,22,4,1.0,65.59,1028.1,7.0,7.0,0.0,0.0,3,2
17529,2012,1,1,8,4,2.0,80.92,1030.1,5.0,4.0,0.0,0.0,4,1
17530,2012,1,1,9,4,1.0,70.27,1031.2,6.0,9.0,0.0,0.0,4,1
17531,2012,1,1,10,4,-1.0,60.76,1031.2,6.0,5.0,0.0,0.0,3,3
17532,2012,1,1,11,4,-3.0,45.7,1030.1,8.0,11.0,0.0,0.0,3,3
17533,2012,1,1,12,4,-4.0,42.4,1029.1,8.0,7.0,0.0,0.0,2,1
17534,2012,1,1,13,4,-3.0,45.7,1029.1,8.0,6.0,0.0,0.0,2,3
17535,2012,1,1,14,4,-3.0,45.7,1029.1,8.0,7.0,0.0,0.0,3,1
17536,2012,1,1,15,4,-3.0,45.7,1029.1,8.0,13.0,0.0,0.0,3,1
17537,2012,1,1,16,4,-3.0,45.7,1029.1,8.0,20.0,0.0,0.0,3,1
17538,2012,1,1,17,4,-1.0,56.72,1030.1,7.0,27.0,0.0,0.0,4,1
17539,2012,1,1,18,4,-1.0,56.72,1030.1,7.0,34.0,0.0,0.0,5,1
17540,2012,1,1,19,4,-1.0,65.13,1031.2,5.0,42.0,0.0,0.0,5,1
17541,2012,1,1,20,4,-1.0,69.85,1031.2,4.0,47.0,0.0,0.0,3,1
17542,2012,1,1,21,4,-2.0,69.64,1031.2,3.0,51.0,0.0,0.0,2,1
17543,2012,1,1,22,4,-2.0,69.64,1031.2,3.0,55.0,0.0,0.0,2,1
17544,2012,1,1,23,4,-2.0,74.78,1030.1,2.0,58.0,0.0,0.0,2,1
17545,2012,1,2,0,4,-2.0,69.64,1030.1,3.0,62.0,0.0,0.0,2,1
17546,2012,1,2,1,4,-3.0,69.43,1029.1,2.0,65.0,0.0,0.0,1,1
17547,2012,1,2,2,4,-3.0,64.66,1030.1,3.0,3.0,0.0,0.0,2,3
17548,2012,1,2,3,4,-3.0,69.43,1030.1,2.0,6.0,0.0,0.0,2,3
17549,2012,1,2,4,4,-3.0,74.59,1029.1,1.0,1.0,0.0,0.0,2,5
17550,2012,1,2,5,4,-3.0,74.59,1029.1,1.0,2.0,0.0,0.0,2,3
17551,2012,1,2,6,4,-3.0,69.43,1029.1,2.0,1.0,0.0,0.0,2,1
17552,2012,1,2,7,4,-3.0,74.59,1029.1,1.0,3.0,0.0,0.0,2,3
17553,2012,1,2,8,4,-2.0,69.64,1030.1,3.0,5.0,0.0,0.0,2,3
17554,2012,1,2,9,4,-1.0,74.96,1030.1,3.0,6.0,0.0,0.0,3,3
17555,2012,1,2,10,4,-1.0,65.13,1031.2,5.0,2.0,0.0,0.0,3,1
17556,2012,1,2,11,4,-3.0,48.93,1029.1,7.0,5.0,0.0,0.0,2,1
17557,2012,1,2,12,4,-4.0,45.4,1028.1,7.0,2.0,0.0,0.0,2,3
17558,2012,1,2,13,4,-4.0,39.63,1027.1,9.0,5.0,0.0,0.0,2,3
17559,2012,1,2,14,4,-3.0,45.7,1026.1,8.0,1.0,0.0,0.0,2,5
17560,2012,1,2,15,4,-4.0,42.4,1025.1,8.0,2.0,0.0,0.0,2,1
17561,2012,1,2,16,4,-4.0,42.4,1025.1,8.0,3.0,0.0,0.0,2,1
17562,2012,1,2,17,4,-3.0,48.93,1026.1,7.0,7.0,0.0,0.0,2,1
17563,2012,1,2,18,4,-3.0,52.41,1026.1,6.0,10.0,0.0,0.0,2,1
17564,2012,1,2,19,4,-1.0,60.76,1026.1,6.0,12.0,0.0,0.0,2,1
17565,2012,1,2,20,4,-1.0,65.13,1027.1,5.0,14.0,0.0,0.0,2,1
17566,2012,1,2,21,4,-2.0,60.51,1027.1,5.0,16.0,0.0,0.0,2,1
17567,2012,1,2,22,4,-1.0,69.85,1027.1,4.0,18.0,0.0,0.0,2,1
17568,2012,1,2,23,4,-2.0,69.64,1027.1,3.0,21.0,0.0,0.0,2,1
17569,2012,1,3,0,4,-2.0,69.64,1027.1,3.0,24.0,0.0,0.0,2,1
17570,2012,1,3,1,4,-1.0,74.96,1027.1,3.0,26.0,0.0,0.0,2,1
17571,2012,1,3,2,4,-2.0,69.64,1026.1,3.0,27.0,0.0,0.0,2,1
17572,2012,1,3,3,4,-2.0,74.78,1026.1,2.0,29.0,0.0,0.0,2,1
17573,2012,1,3,4,4,-2.0,74.78,1026.1,2.0,31.0,0.0,0.0,2,1
17574,2012,1,3,5,4,-1.0,80.49,1027.1,2.0,3.0,0.0,0.0,2,3
17575,2012,1,3,6,4,-1.0,74.96,1027.1,3.0,6.0,0.0,0.0,2,3
17576,2012,1,3,7,4,-1.0,74.96,1028.1,3.0,9.0,0.0,0.0,2,3
17577,2012,1,3,8,4,-1.0,69.85,1028.1,4.0,12.0,0.0,0.0,2,3
17578,2012,1,3,9,4,-1.0,69.85,1029.1,4.0,15.0,0.0,0.0,2,3
17579,2012,1,3,10,4,-1.0,65.13,1029.1,5.0,19.0,0.0,0.0,2,3
17580,2012,1,3,11,4,-2.0,60.51,1029.1,5.0,24.0,0.0,0.0,3,3
17581,2012,1,3,12,4,-3.0,52.41,1028.1,6.0,30.0,0.0,0.0,4,3
17582,2012,1,3,13,4,-2.0,60.51,1028.1,5.0,38.0,0.0,0.0,4,3
17583,2012,1,3,14,4,-3.0,56.18,1027.1,5.0,45.0,0.0,0.0,5,3
17584,2012,1,3,15,4,-4.0,52.13,1028.1,5.0,52.0,0.0,0.0,5,3
17585,2012,1,3,16,4,-8.0,41.17,1028.1,4.0,59.0,0.0,0.0,4,3
17586,2012,1,3,17,4,-8.0,41.17,1029.1,4.0,65.0,0.0,0.0,3,3
17587,2012,1,3,18,4,-11.0,34.88,1030.1,3.0,71.0,0.0,0.0,3,3
17588,2012,1,3,19,4,-13.0,29.69,1030.1,3.0,78.0,0.0,0.0,2,3
17589,2012,1,3,20,4,-12.0,34.56,1031.2,2.0,84.0,0.0,0.0,2,3
17590,2012,1,3,21,4,-12.0,34.56,1031.2,2.0,90.0,0.0,0.0,2,3
17591,2012,1,3,22,4,-11.0,37.45,1031.8,2.0,96.0,0.0,0.0,3,3
17592,2012,1,3,23,4,-10.0,40.55,1031.8,2.0,102.0,0.0,0.0,3,3
17593,2012,1,4,0,4,-10.0,43.57,1031.8,1.0,109.0,0.0,0.0,3,3
17594,2012,1,4,1,4,-10.0,46.84,1031.8,0.0,114.0,0.0,0.0,3,3
17595,2012,1,4,2,4,-10.0,46.84,1032.9,0.0,120.0,0.0,0.0,3,3
17596,2012,1,4,3,4,-9.0,50.68,1032.9,0.0,126.0,0.0,0.0,3,3
17597,2012,1,4,4,4,-9.0,54.51,1032.9,-1.0,131.0,0.0,0.0,3,3
17598,2012,1,4,5,4,-10.0,50.38,1032.9,-1.0,136.0,0.0,0.0,3,3
17599,2012,1,4,6,4,-10.0,50.38,1033.9,-1.0,140.0,0.0,0.0,3,3
17600,2012,1,4,7,4,-10.0,54.23,1034.9,-2.0,145.0,0.0,0.0,3,3
17601,2012,1,4,8,4,-10.0,50.38,1034.9,-1.0,150.0,0.0,0.0,3,3
17602,2012,1,4,9,4,-12.0,39.92,1035.9,0.0,156.0,0.0,0.0,3,3
17610,2012,1,4,17,4,-15.0,27.05,1032.9,2.0,5.0,0.0,0.0,2,1
17611,2012,1,4,18,4,-14.0,29.38,1033.9,2.0,4.0,0.0,0.0,2,3
17612,2012,1,4,19,4,-13.0,36.82,1033.9,0.0,4.0,0.0,0.0,2,1
17613,2012,1,4,20,4,-14.0,31.56,1033.9,1.0,3.0,0.0,0.0,2,3
17614,2012,1,4,21,4,-11.0,46.53,1033.9,-1.0,4.0,0.0,0.0,2,1
17615,2012,1,4,22,4,-10.0,50.38,1033.9,-1.0,7.0,0.0,0.0,2,1
17616,2012,1,4,23,4,-9.0,54.51,1033.9,-1.0,10.0,0.0,0.0,2,1
17617,2012,1,5,0,4,-8.0,63.45,1033.9,-2.0,13.0,0.0,0.0,2,1
17618,2012,1,5,1,4,-8.0,58.95,1032.9,-1.0,17.0,0.0,0.0,2,1
17619,2012,1,5,2,4,-8.0,58.95,1032.9,-1.0,20.0,0.0,0.0,2,1
17620,2012,1,5,3,4,-7.0,59.21,1031.8,0.0,24.0,0.0,0.0,2,1
17621,2012,1,5,4,4,-7.0,63.69,1032.9,-1.0,2.0,0.0,0.0,2,3
17622,2012,1,5,5,4,-7.0,63.69,1032.9,-1.0,2.0,0.0,0.0,2,1
17623,2012,1,5,6,4,-7.0,63.69,1032.9,-1.0,5.0,0.0,0.0,2,1
17624,2012,1,5,7,4,-8.0,54.8,1033.9,0.0,3.0,0.0,0.0,2,3
17625,2012,1,5,8,4,-11.0,43.26,1032.9,0.0,6.0,0.0,0.0,2,3
17626,2012,1,5,9,4,-11.0,40.24,1033.9,1.0,9.0,0.0,0.0,2,3
17627,2012,1,5,10,4,-11.0,37.45,1032.9,2.0,3.0,0.0,0.0,2,1
17630,2012,1,5,13,4,-11.0,30.31,1030.1,5.0,4.0,0.0,0.0,2,3
17631,2012,1,5,14,4,-12.0,26.09,1029.1,6.0,2.0,0.0,0.0,2,4
17632,2012,1,5,15,4,-13.0,24.06,1029.1,6.0,4.0,0.0,0.0,2,4
17633,2012,1,5,16,4,-14.0,23.77,1028.1,5.0,2.0,0.0,0.0,2,3
17634,2012,1,5,17,4,-13.0,27.66,1029.1,4.0,3.0,0.0,0.0,2,4
17635,2012,1,5,18,4,-12.0,32.19,1029.1,3.0,2.0,0.0,0.0,3,3
17636,2012,1,5,19,4,-12.0,32.19,1029.1,3.0,4.0,0.0,0.0,2,3
17637,2012,1,5,20,4,-12.0,34.56,1030.1,2.0,2.0,0.0,0.0,2,4
17638,2012,1,5,21,4,-4.0,55.91,1029.1,4.0,2.0,0.0,0.0,2,5
17639,2012,1,5,22,4,-3.0,64.66,1029.1,3.0,2.0,0.0,0.0,2,1
17640,2012,1,5,23,4,-3.0,64.66,1030.1,3.0,3.0,0.0,0.0,2,1
17641,2012,1,6,0,4,-3.0,64.66,1029.1,3.0,4.0,0.0,0.0,2,1
17642,2012,1,6,1,4,-3.0,64.66,1030.1,3.0,7.0,0.0,0.0,2,1
17643,2012,1,6,2,4,-2.0,69.64,1029.1,3.0,11.0,0.0,0.0,2,1
17644,2012,1,6,3,4,-3.0,64.66,1030.1,3.0,14.0,0.0,0.0,2,1
17645,2012,1,6,4,4,-3.0,64.66,1030.1,3.0,17.0,0.0,0.0,2,1
17646,2012,1,6,5,4,-4.0,60.0,1030.1,3.0,20.0,0.0,0.0,2,1
17647,2012,1,6,6,4,-4.0,60.0,1030.1,3.0,22.0,0.0,0.0,2,1
17648,2012,1,6,7,4,-5.0,51.84,1030.1,4.0,25.0,0.0,0.0,2,1
17649,2012,1,6,8,4,-4.0,55.91,1031.2,4.0,28.0,0.0,0.0,2,1
17650,2012,1,6,9,4,-3.0,60.25,1031.8,4.0,32.0,0.0,0.0,2,1
17651,2012,1,6,10,4,-3.0,56.18,1032.9,5.0,36.0,0.0,0.0,2,1
17652,2012,1,6,11,4,-6.0,44.8,1031.8,5.0,39.0,0.0,0.0,1,1
17653,2012,1,6,12,4,-6.0,41.79,1031.2,6.0,43.0,0.0,0.0,2,1
17654,2012,1,6,13,4,-7.0,38.7,1031.2,6.0,48.0,0.0,0.0,2,1
17655,2012,1,6,14,4,-7.0,36.13,1031.2,7.0,50.0,0.0,0.0,1,1
17656,2012,1,6,15,4,-5.0,42.1,1031.2,7.0,54.0,0.0,0.0,1,1
17657,2012,1,6,16,4,-5.0,42.1,1031.2,7.0,58.0,0.0,0.0,1,1
17658,2012,1,6,17,4,-4.0,48.63,1031.8,6.0,61.0,0.0,0.0,1,1
17659,2012,1,6,18,4,-3.0,52.41,1032.9,6.0,65.0,0.0,0.0,1,1
17660,2012,1,6,19,4,-2.0,60.51,1033.9,5.0,71.0,0.0,0.0,2,1
17661,2012,1,6,20,4,-2.0,64.9,1033.9,4.0,75.0,0.0,0.0,2,1
17662,2012,1,6,21,4,-3.0,64.66,1034.9,3.0,79.0,0.0,0.0,2,1
17663,2012,1,6,22,4,-2.0,74.78,1034.9,2.0,82.0,0.0,0.0,2,1
17664,2012,1,6,23,4,-3.0,74.59,1034.9,1.0,85.0,0.0,0.0,2,1
17665,2012,1,7,0,4,-3.0,74.59,1034.9,1.0,3.0,0.0,0.0,2,3
17666,2012,1,7,1,4,-2.0,86.37,1034.9,0.0,2.0,0.0,0.0,2,1
17667,2012,1,7,2,4,-2.0,80.34,1034.9,1.0,4.0,0.0,0.0,2,1
17668,2012,1,7,3,4,-2.0,86.37,1034.9,0.0,8.0,0.0,0.0,2,1
17669,2012,1,7,4,4,-2.0,86.37,1034.9,0.0,11.0,0.0,0.0,2,1
17670,2012,1,7,5,4,-3.0,80.19,1034.9,0.0,13.0,0.0,0.0,2,1
17671,2012,1,7,6,4,-3.0,80.19,1034.9,0.0,15.0,0.0,0.0,2,1
17672,2012,1,7,7,4,-3.0,80.19,1034.9,0.0,18.0,0.0,0.0,2,1
17673,2012,1,7,8,4,-1.0,80.49,1035.9,2.0,21.0,0.0,0.0,2,1
17674,2012,1,7,9,4,0.0,70.06,1036.9,5.0,24.0,0.0,0.0,2,1
17675,2012,1,7,10,4,0.0,61.01,1036.9,7.0,27.0,0.0,0.0,2,1
17676,2012,1,7,11,4,0.0,56.99,1035.9,8.0,33.0,0.0,0.0,1,1
17677,2012,1,7,12,4,0.0,56.99,1034.9,8.0,38.0,0.0,0.0,1,1
17678,2012,1,7,13,4,-1.0,52.98,1033.9,8.0,42.0,0.0,0.0,1,1
17679,2012,1,7,14,4,-2.0,49.22,1032.9,8.0,47.0,0.0,0.0,1,1
17680,2012,1,7,15,4,-2.0,49.22,1032.9,8.0,51.0,0.0,0.0,1,1
17681,2012,1,7,16,4,-1.0,52.98,1033.9,8.0,55.0,0.0,0.0,1,1
17682,2012,1,7,17,4,-2.0,52.7,1033.9,7.0,59.0,0.0,0.0,1,1
17683,2012,1,7,18,4,-1.0,60.76,1033.9,6.0,62.0,0.0,0.0,2,1
17684,2012,1,7,19,4,-1.0,60.76,1033.9,6.0,67.0,0.0,0.0,1,1
17685,2012,1,7,20,4,-1.0,60.76,1033.9,6.0,72.0,0.0,0.0,2,1
17686,2012,1,7,21,4,-1.0,60.76,1033.9,6.0,76.0,0.0,0.0,1,1
17687,2012,1,7,22,4,-1.0,60.76,1033.9,6.0,80.0,0.0,0.0,1,1
17688,2012,1,7,23,4,-1.0,60.76,1032.9,6.0,84.0,0.0,0.0,1,1
17689,2012,1,8,0,4,-1.0,60.76,1032.9,6.0,88.0,0.0,0.0,1,1
17690,2012,1,8,1,4,-1.0,60.76,1032.9,6.0,91.0,0.0,0.0,1,1
17691,2012,1,8,2,4,-1.0,60.76,1031.8,6.0,94.0,0.0,0.0,1,1
17692,2012,1,8,3,4,-1.0,60.76,1031.8,6.0,97.0,0.0,0.0,1,1
17693,2012,1,8,4,4,0.0,65.36,1031.8,6.0,100.0,0.1,0.1,1,1
17694,2012,1,8,5,4,1.0,70.27,1031.8,6.0,103.0,0.1,0.2,1,1
17695,2012,1,8,6,4,2.0,80.92,1031.8,5.0,105.0,0.1,0.3,1,1
17696,2012,1,8,7,4,2.0,80.92,1031.8,5.0,107.0,0.3,0.6,1,1
17697,2012,1,8,8,4,3.0,86.89,1032.9,5.0,110.0,0.2,0.8,1,1
17698,2012,1,8,9,4,3.0,81.06,1032.9,6.0,112.0,0.1,0.9,1,1
17699,2012,1,8,10,4,3.0,81.06,1032.9,6.0,115.0,0.0,0.0,1,1
17700,2012,1,8,11,4,3.0,75.67,1031.8,7.0,117.0,0.0,0.0,1,1
17701,2012,1,8,12,4,2.0,70.47,1031.2,7.0,119.0,0.2,0.2,1,1
17702,2012,1,8,13,4,3.0,81.06,1031.2,6.0,121.0,0.1,0.3,1,1
17703,2012,1,8,14,4,4.0,86.99,1030.1,6.0,124.0,0.0,0.0,1,1
17704,2012,1,8,15,4,3.0,75.67,1030.1,7.0,128.0,0.0,0.0,1,1
17705,2012,1,8,16,4,2.0,70.47,1030.1,7.0,131.0,0.0,0.0,1,1
17706,2012,1,8,17,4,2.0,70.47,1031.2,7.0,135.0,0.0,0.0,1,1
17707,2012,1,8,18,4,1.0,65.59,1031.2,7.0,139.0,0.0,0.0,2,1
17708,2012,1,8,19,4,2.0,75.49,1031.2,6.0,143.0,0.0,0.0,2,1
17709,2012,1,8,20,4,1.0,70.27,1031.8,6.0,148.0,0.0,0.0,2,1
17710,2012,1,8,21,4,0.0,65.36,1031.2,6.0,152.0,0.0,0.0,2,1
17711,2012,1,8,22,4,0.0,65.36,1031.2,6.0,156.0,0.0,0.0,2,1
17726,2012,1,9,13,4,-1.0,49.51,1030.1,9.0,2.0,0.0,0.0,2,3
17727,2012,1,9,14,4,-1.0,49.51,1030.1,9.0,2.0,0.0,0.0,2,1
17728,2012,1,9,15,4,-1.0,49.51,1030.1,9.0,5.0,0.0,0.0,2,1
17729,2012,1,9,16,4,-2.0,46.0,1029.1,9.0,8.0,0.0,0.0,2,1
17730,2012,1,9,17,4,-2.0,49.22,1030.1,8.0,11.0,0.0,0.0,2,1
17731,2012,1,9,18,4,0.0,56.99,1030.1,8.0,15.0,0.0,0.0,2,1
17732,2012,1,9,19,4,1.0,61.26,1030.1,8.0,18.0,0.0,0.0,2,1
17733,2012,1,9,20,4,1.0,61.26,1030.1,8.0,3.0,0.0,0.0,2,2
17734,2012,1,9,21,4,1.0,61.26,1030.1,8.0,3.0,0.0,0.0,2,1
17735,2012,1,9,22,4,1.0,65.59,1030.1,7.0,6.0,0.0,0.0,2,1
17736,2012,1,9,23,4,1.0,65.59,1030.1,7.0,9.0,0.0,0.0,3,1
17737,2012,1,10,0,4,1.0,65.59,1030.1,7.0,12.0,0.0,0.0,3,1
17738,2012,1,10,1,4,1.0,70.27,1030.1,6.0,14.0,0.0,0.0,3,1
17739,2012,1,10,2,4,1.0,70.27,1030.1,6.0,18.0,0.0,0.0,3,1
17740,2012,1,10,3,4,1.0,70.27,1030.1,6.0,20.0,0.0,0.0,3,1
17741,2012,1,10,4,4,1.0,70.27,1029.1,6.0,22.0,0.0,0.0,3,1
17742,2012,1,10,5,4,1.0,70.27,1029.1,6.0,24.0,0.0,0.0,3,1
17743,2012,1,10,6,4,2.0,75.49,1029.1,6.0,26.0,0.0,0.0,3,1
17744,2012,1,10,7,4,1.0,70.27,1029.1,6.0,28.0,0.0,0.0,3,1
17745,2012,1,10,8,4,1.0,65.59,1029.1,7.0,30.0,0.0,0.0,3,1
17746,2012,1,10,9,4,0.0,61.01,1030.1,7.0,33.0,0.0,0.0,2,1
17747,2012,1,10,10,4,0.0,56.99,1031.2,8.0,36.0,0.0,0.0,3,1
17749,2012,1,10,12,4,1.0,57.25,1029.1,9.0,3.0,0.0,0.0,3,3
17750,2012,1,10,13,4,0.0,53.26,1028.1,9.0,4.0,0.0,0.0,3,1
17751,2012,1,10,14,4,0.0,53.26,1028.1,9.0,8.0,0.0,0.0,3,1
17752,2012,1,10,15,4,0.0,53.26,1028.1,9.0,12.0,0.0,0.0,3,1
17753,2012,1,10,16,4,0.0,56.99,1028.1,8.0,17.0,0.0,0.0,3,1
17754,2012,1,10,17,4,0.0,56.99,1029.1,8.0,21.0,0.0,0.0,3,1
17755,2012,1,10,18,4,0.0,61.01,1029.1,7.0,25.0,0.0,0.0,3,1
17756,2012,1,10,19,4,0.0,61.01,1029.1,7.0,28.0,0.0,0.0,3,1
17757,2012,1,10,20,4,1.0,65.59,1030.1,7.0,31.0,0.0,0.0,3,1
17758,2012,1,10,21,4,0.0,65.36,1031.2,6.0,35.0,0.0,0.0,3,1
17759,2012,1,10,22,4,1.0,70.27,1031.2,6.0,39.0,0.0,0.0,3,1
17760,2012,1,10,23,4,0.0,70.06,1031.2,5.0,43.0,0.0,0.0,3,1
17761,2012,1,11,0,4,0.0,70.06,1031.2,5.0,47.0,0.0,0.0,3,1
17762,2012,1,11,1,4,-1.0,65.13,1031.2,5.0,52.0,0.0,0.0,3,1
17763,2012,1,11,2,4,-1.0,65.13,1031.8,5.0,3.0,0.0,0.0,4,3
17764,2012,1,11,3,4,-1.0,65.13,1031.8,5.0,5.0,0.0,0.0,4,1
17765,2012,1,11,4,4,-1.0,65.13,1031.8,5.0,9.0,0.0,0.0,5,1
17766,2012,1,11,5,4,1.0,80.78,1031.8,4.0,14.0,0.0,0.0,5,1
17767,2012,1,11,6,4,1.0,80.78,1032.9,4.0,18.0,0.0,0.0,5,1
17768,2012,1,11,7,4,2.0,86.79,1032.9,4.0,22.0,0.0,0.0,5,1
17769,2012,1,11,8,4,1.0,80.78,1033.9,4.0,28.0,0.0,0.0,6,1
17770,2012,1,11,9,4,1.0,75.32,1034.9,5.0,34.0,0.0,0.0,6,1
17771,2012,1,11,10,4,0.0,65.36,1034.9,6.0,41.0,0.0,0.0,6,1
17772,2012,1,11,11,4,0.0,61.01,1034.9,7.0,48.0,0.0,0.0,5,1
17773,2012,1,11,12,4,0.0,56.99,1033.9,8.0,55.0,0.0,0.0,5,1
17774,2012,1,11,13,4,-2.0,49.22,1032.9,8.0,62.0,0.0,0.0,4,1
17775,2012,1,11,14,4,-4.0,42.4,1033.9,8.0,69.0,0.0,0.0,3,1
17776,2012,1,11,15,4,-4.0,45.4,1033.9,7.0,76.0,0.0,0.0,3,1
17777,2012,1,11,16,4,-2.0,52.7,1033.9,7.0,83.0,0.0,0.0,2,1
17778,2012,1,11,17,4,-3.0,56.18,1034.9,5.0,90.0,0.0,0.0,2,1
17779,2012,1,11,18,4,-3.0,60.25,1034.9,4.0,97.0,0.0,0.0,2,1
17780,2012,1,11,19,4,-4.0,55.91,1034.9,4.0,103.0,0.0,0.0,2,1
17781,2012,1,11,20,4,-4.0,60.0,1034.9,3.0,108.0,0.0,0.0,2,1
17782,2012,1,11,21,4,-5.0,55.63,1034.9,3.0,113.0,0.0,0.0,2,1
17783,2012,1,11,22,4,-4.0,60.0,1034.9,3.0,118.0,0.0,0.0,2,1
17784,2012,1,11,23,4,-4.0,60.0,1033.9,3.0,123.0,0.0,0.0,1,1
17785,2012,1,12,0,4,-4.0,64.42,1033.9,2.0,127.0,0.0,0.0,1,1
17786,2012,1,12,1,4,-4.0,64.42,1033.9,2.0,131.0,0.0,0.0,1,1
17787,2012,1,12,2,4,-4.0,64.42,1033.9,2.0,135.0,0.0,0.0,1,1
17788,2012,1,12,3,4,-4.0,69.21,1033.9,1.0,137.0,0.0,0.0,1,1
