year,month,day,hour,season,DEWP,HUMI,PRES,TEMP,Iws,precipitation,Iprec,Air Quality,cbwd_new
2012,1,3,2,4,-2,69.64,1026.1,3,27,0,0,2,1
2012,1,3,3,4,-2,74.78,1026.1,2,29,0,0,2,1
2012,1,3,4,4,-2,74.78,1026.1,2,31,0,0,2,1
2012,1,3,5,4,-1,80.49,1027.1,2,3,0,0,2,3
2012,1,3,6,4,-1,74.96,1027.1,3,6,0,0,2,3
2012,1,3,7,4,-1,74.96,1028.1,3,9,0,0,2,3
2012,1,3,8,4,-1,69.85,1028.1,4,12,0,0,2,3
2012,1,3,9,4,-1,69.85,1029.1,4,15,0,0,2,3
2012,1,3,10,4,-1,65.13,1029.1,5,19,0,0,2,3
2012,1,3,11,4,-2,60.51,1029.1,5,24,0,0,3,3
2012,1,3,12,4,-3,52.41,1028.1,6,30,0,0,4,3
2012,1,3,13,4,-2,60.51,1028.1,5,38,0,0,4,3
2012,1,3,14,4,-3,56.18,1027.1,5,45,0,0,5,3
2012,1,3,15,4,-4,52.13,1028.1,5,52,0,0,5,3
2012,1,3,16,4,-8,41.17,1028.1,4,59,0,0,4,3
2012,1,3,17,4,-8,41.17,1029.1,4,65,0,0,3,3
2012,1,3,18,4,-11,34.88,1030.1,3,71,0,0,3,3
2012,1,3,19,4,-13,29.69,1030.1,3,78,0,0,2,3
2012,1,3,20,4,-12,34.56,1031.2,2,84,0,0,2,3
2012,1,3,21,4,-12,34.56,1031.2,2,90,0,0,2,3
2012,1,3,22,4,-11,37.45,1031.8,2,96,0,0,3,3
2012,1,3,23,4,-10,40.55,1031.8,2,102,0,0,3,3
2012,1,4,0,4,-10,43.57,1031.8,1,109,0,0,3,3
2012,1,4,1,4,-10,46.84,1031.8,0,114,0,0,3,3
2012,1,4,2,4,-10,46.84,1032.9,0,120,0,0,3,3
2012,1,4,3,4,-9,50.68,1032.9,0,126,0,0,3,3
2012,1,4,4,4,-9,54.51,1032.9,-1,131,0,0,3,3
2012,1,4,5,4,-10,50.38,1032.9,-1,136,0,0,3,3
2012,1,4,6,4,-10,50.38,1033.9,-1,140,0,0,3,3
2012,1,4,7,4,-10,54.23,1034.9,-2,145,0,0,3,3
2012,1,4,8,4,-10,50.38,1034.9,-1,150,0,0,3,3
2012,1,4,9,4,-12,39.92,1035.9,0,156,0,0,3,3
2012,1,4,17,4,-15,27.05,1032.9,2,5,0,0,2,1
2012,1,4,18,4,-14,29.38,1033.9,2,4,0,0,2,3
2012,1,4,19,4,-13,36.82,1033.9,0,4,0,0,2,1
2012,1,4,20,4,-14,31.56,1033.9,1,3,0,0,2,3
2012,1,4,21,4,-11,46.53,1033.9,-1,4,0,0,2,1
2012,1,4,22,4,-10,50.38,1033.9,-1,7,0,0,2,1
2012,1,4,23,4,-9,54.51,1033.9,-1,10,0,0,2,1
2012,1,5,0,4,-8,63.45,1033.9,-2,13,0,0,2,1
2012,1,5,1,4,-8,58.95,1032.9,-1,17,0,0,2,1
2012,1,5,2,4,-8,58.95,1032.9,-1,20,0,0,2,1
2012,1,5,3,4,-7,59.21,1031.8,0,24,0,0,2,1
2012,1,5,4,4,-7,63.69,1032.9,-1,2,0,0,2,3
2012,1,5,5,4,-7,63.69,1032.9,-1,2,0,0,2,1
2012,1,5,6,4,-7,63.69,1032.9,-1,5,0,0,2,1
2012,1,5,7,4,-8,54.8,1033.9,0,3,0,0,2,3
2012,1,5,8,4,-11,43.26,1032.9,0,6,0,0,2,3
2012,1,5,9,4,-11,40.24,1033.9,1,9,0,0,2,3
2012,1,5,10,4,-11,37.45,1032.9,2,3,0,0,2,1
2012,1,5,13,4,-11,30.31,1030.1,5,4,0,0,2,3
2012,1,5,14,4,-12,26.09,1029.1,6,2,0,0,2,4
2012,1,5,15,4,-13,24.06,1029.1,6,4,0,0,2,4
2012,1,5,16,4,-14,23.77,1028.1,5,2,0,0,2,3
2012,1,5,17,4,-13,27.66,1029.1,4,3,0,0,2,4
2012,1,5,18,4,-12,32.19,1029.1,3,2,0,0,3,3
2012,1,5,19,4,-12,32.19,1029.1,3,4,0,0,2,3
2012,1,5,20,4,-12,34.56,1030.1,2,2,0,0,2,4
2012,1,5,21,4,-4,55.91,1029.1,4,2,0,0,2,5
2012,1,5,22,4,-3,64.66,1029.1,3,2,0,0,2,1
2012,1,5,23,4,-3,64.66,1030.1,3,3,0,0,2,1
2012,1,6,0,4,-3,64.66,1029.1,3,4,0,0,2,1
2012,1,6,1,4,-3,64.66,1030.1,3,7,0,0,2,1
2012,1,6,2,4,-2,69.64,1029.1,3,11,0,0,2,1
2012,1,6,3,4,-3,64.66,1030.1,3,14,0,0,2,1
2012,1,6,4,4,-3,64.66,1030.1,3,17,0,0,2,1
2012,1,6,5,4,-4,60,1030.1,3,20,0,0,2,1
2012,1,6,6,4,-4,60,1030.1,3,22,0,0,2,1
2012,1,6,7,4,-5,51.84,1030.1,4,25,0,0,2,1
2012,1,6,8,4,-4,55.91,1031.2,4,28,0,0,2,1
2012,1,6,9,4,-3,60.25,1031.8,4,32,0,0,2,1
2012,1,6,10,4,-3,56.18,1032.9,5,36,0,0,2,1
2012,1,6,11,4,-6,44.8,1031.8,5,39,0,0,1,1
2012,1,6,12,4,-6,41.79,1031.2,6,43,0,0,2,1
2012,1,6,13,4,-7,38.7,1031.2,6,48,0,0,2,1
2012,1,6,14,4,-7,36.13,1031.2,7,50,0,0,1,1
2012,1,6,15,4,-5,42.1,1031.2,7,54,0,0,1,1
2012,1,6,16,4,-5,42.1,1031.2,7,58,0,0,1,1
2012,1,6,17,4,-4,48.63,1031.8,6,61,0,0,1,1
2012,1,6,18,4,-3,52.41,1032.9,6,65,0,0,1,1
2012,1,6,19,4,-2,60.51,1033.9,5,71,0,0,2,1
2012,1,6,20,4,-2,64.9,1033.9,4,75,0,0,2,1
2012,1,6,21,4,-3,64.66,1034.9,3,79,0,0,2,1
2012,1,6,22,4,-2,74.78,1034.9,2,82,0,0,2,1
2012,1,6,23,4,-3,74.59,1034.9,1,85,0,0,2,1
2012,1,7,0,4,-3,74.59,1034.9,1,3,0,0,2,3
2012,1,7,1,4,-2,86.37,1034.9,0,2,0,0,2,1
2012,1,7,2,4,-2,80.34,1034.9,1,4,0,0,2,1
2012,1,7,3,4,-2,86.37,1034.9,0,8,0,0,2,1
2012,1,7,4,4,-2,86.37,1034.9,0,11,0,0,2,1
2012,1,7,5,4,-3,80.19,1034.9,0,13,0,0,2,1
2012,1,7,6,4,-3,80.19,1034.9,0,15,0,0,2,1
2012,1,7,7,4,-3,80.19,1034.9,0,18,0,0,2,1
2012,1,7,8,4,-1,80.49,1035.9,2,21,0,0,2,1
2012,1,7,9,4,0,70.06,1036.9,5,24,0,0,2,1
2012,1,7,10,4,0,61.01,1036.9,7,27,0,0,2,1
2012,1,7,11,4,0,56.99,1035.9,8,33,0,0,1,1
2012,1,7,12,4,0,56.99,1034.9,8,38,0,0,1,1
2012,1,7,13,4,-1,52.98,1033.9,8,42,0,0,1,1
2012,1,7,14,4,-2,49.22,1032.9,8,47,0,0,1,1
2012,1,7,15,4,-2,49.22,1032.9,8,51,0,0,1,1
2012,1,7,16,4,-1,52.98,1033.9,8,55,0,0,1,1
2012,1,7,17,4,-2,52.7,1033.9,7,59,0,0,1,1
2012,1,7,18,4,-1,60.76,1033.9,6,62,0,0,2,1
2012,1,7,19,4,-1,60.76,1033.9,6,67,0,0,1,1
2012,1,7,20,4,-1,60.76,1033.9,6,72,0,0,2,1
2012,1,7,21,4,-1,60.76,1033.9,6,76,0,0,1,1
2012,1,7,22,4,-1,60.76,1033.9,6,80,0,0,1,1
2012,1,7,23,4,-1,60.76,1032.9,6,84,0,0,1,1
2012,1,8,0,4,-1,60.76,1032.9,6,88,0,0,1,1
2012,1,8,1,4,-1,60.76,1032.9,6,91,0,0,1,1
2012,1,8,2,4,-1,60.76,1031.8,6,94,0,0,1,1
2012,1,8,3,4,-1,60.76,1031.8,6,97,0,0,1,1
2012,1,8,4,4,0,65.36,1031.8,6,100,0.1,0.1,1,1
2012,1,8,5,4,1,70.27,1031.8,6,103,0.1,0.2,1,1
2012,1,8,6,4,2,80.92,1031.8,5,105,0.1,0.3,1,1
2012,1,8,7,4,2,80.92,1031.8,5,107,0.3,0.6,1,1
2012,1,8,8,4,3,86.89,1032.9,5,110,0.2,0.8,1,1
2012,1,8,9,4,3,81.06,1032.9,6,112,0.1,0.9,1,1
2012,1,8,10,4,3,81.06,1032.9,6,115,0,0,1,1
2012,1,8,11,4,3,75.67,1031.8,7,117,0,0,1,1
2012,1,8,12,4,2,70.47,1031.2,7,119,0.2,0.2,1,1
2012,1,8,13,4,3,81.06,1031.2,6,121,0.1,0.3,1,1
2012,1,8,14,4,4,86.99,1030.1,6,124,0,0,1,1
2012,1,8,15,4,3,75.67,1030.1,7,128,0,0,1,1
2012,1,8,16,4,2,70.47,1030.1,7,131,0,0,1,1
2012,1,8,17,4,2,70.47,1031.2,7,135,0,0,1,1
2012,1,8,18,4,1,65.59,1031.2,7,139,0,0,2,1
2012,1,8,19,4,2,75.49,1031.2,6,143,0,0,2,1
2012,1,8,20,4,1,70.27,1031.8,6,148,0,0,2,1
2012,1,8,21,4,0,65.36,1031.2,6,152,0,0,2,1
2012,1,8,22,4,0,65.36,1031.2,6,156,0,0,2,1
2012,1,9,13,4,-1,49.51,1030.1,9,2,0,0,2,3
2012,1,9,14,4,-1,49.51,1030.1,9,2,0,0,2,1
2012,1,9,15,4,-1,49.51,1030.1,9,5,0,0,2,1
2012,1,9,16,4,-2,46,1029.1,9,8,0,0,2,1
2012,1,9,17,4,-2,49.22,1030.1,8,11,0,0,2,1
2012,1,9,18,4,0,56.99,1030.1,8,15,0,0,2,1
2012,1,9,19,4,1,61.26,1030.1,8,18,0,0,2,1
2012,1,9,20,4,1,61.26,1030.1,8,3,0,0,2,2
2012,1,9,21,4,1,61.26,1030.1,8,3,0,0,2,1
2012,1,9,22,4,1,65.59,1030.1,7,6,0,0,2,1
2012,1,9,23,4,1,65.59,1030.1,7,9,0,0,3,1
2012,1,10,0,4,1,65.59,1030.1,7,12,0,0,3,1
2012,1,10,1,4,1,70.27,1030.1,6,14,0,0,3,1
2012,1,10,2,4,1,70.27,1030.1,6,18,0,0,3,1
2012,1,10,3,4,1,70.27,1030.1,6,20,0,0,3,1
2012,1,10,4,4,1,70.27,1029.1,6,22,0,0,3,1
2012,1,10,5,4,1,70.27,1029.1,6,24,0,0,3,1
2012,1,10,6,4,2,75.49,1029.1,6,26,0,0,3,1
2012,1,10,7,4,1,70.27,1029.1,6,28,0,0,3,1
2012,1,10,8,4,1,65.59,1029.1,7,30,0,0,3,1
2012,1,10,9,4,0,61.01,1030.1,7,33,0,0,2,1
2012,1,10,10,4,0,56.99,1031.2,8,36,0,0,3,1
2012,1,10,12,4,1,57.25,1029.1,9,3,0,0,3,3
2012,1,10,13,4,0,53.26,1028.1,9,4,0,0,3,1
2012,1,10,14,4,0,53.26,1028.1,9,8,0,0,3,1
2012,1,10,15,4,0,53.26,1028.1,9,12,0,0,3,1
2012,1,10,16,4,0,56.99,1028.1,8,17,0,0,3,1
2012,1,10,17,4,0,56.99,1029.1,8,21,0,0,3,1
2012,1,10,18,4,0,61.01,1029.1,7,25,0,0,3,1
2012,1,10,19,4,0,61.01,1029.1,7,28,0,0,3,1
2012,1,10,20,4,1,65.59,1030.1,7,31,0,0,3,1
2012,1,10,21,4,0,65.36,1031.2,6,35,0,0,3,1
2012,1,10,22,4,1,70.27,1031.2,6,39,0,0,3,1
2012,1,10,23,4,0,70.06,1031.2,5,43,0,0,3,1
2012,1,11,0,4,0,70.06,1031.2,5,47,0,0,3,1
2012,1,11,1,4,-1,65.13,1031.2,5,52,0,0,3,1
2012,1,11,2,4,-1,65.13,1031.8,5,3,0,0,4,3
2012,1,11,3,4,-1,65.13,1031.8,5,5,0,0,4,1
2012,1,11,4,4,-1,65.13,1031.8,5,9,0,0,5,1
2012,1,11,5,4,1,80.78,1031.8,4,14,0,0,5,1
2012,1,11,6,4,1,80.78,1032.9,4,18,0,0,5,1
2012,1,11,7,4,2,86.79,1032.9,4,22,0,0,5,1
2012,1,11,8,4,1,80.78,1033.9,4,28,0,0,6,1
2012,1,11,9,4,1,75.32,1034.9,5,34,0,0,6,1
2012,1,11,10,4,0,65.36,1034.9,6,41,0,0,6,1
2012,1,11,11,4,0,61.01,1034.9,7,48,0,0,5,1
2012,1,11,12,4,0,56.99,1033.9,8,55,0,0,5,1
2012,1,11,13,4,-2,49.22,1032.9,8,62,0,0,4,1
2012,1,11,14,4,-4,42.4,1033.9,8,69,0,0,3,1
2012,1,11,15,4,-4,45.4,1033.9,7,76,0,0,3,1
2012,1,11,16,4,-2,52.7,1033.9,7,83,0,0,2,1
2012,1,11,17,4,-3,56.18,1034.9,5,90,0,0,2,1
2012,1,11,18,4,-3,60.25,1034.9,4,97,0,0,2,1
2012,1,11,19,4,-4,55.91,1034.9,4,103,0,0,2,1
2012,1,11,20,4,-4,60,1034.9,3,108,0,0,2,1
2012,1,11,21,4,-5,55.63,1034.9,3,113,0,0,2,1
2012,1,11,22,4,-4,60,1034.9,3,118,0,0,2,1
2012,1,11,23,4,-4,60,1033.9,3,123,0,0,1,1
2012,1,12,0,4,-4,64.42,1033.9,2,127,0,0,1,1
2012,1,12,1,4,-4,64.42,1033.9,2,131,0,0,1,1
2012,1,12,2,4,-4,64.42,1033.9,2,135,0,0,1,1
2012,1,12,3,4,-4,69.21,1033.9,1,137,0,0,1,1
2012,1,12,4,4,-3,69.43,1032.9,2,140,0,0,1,1
2012,1,12,5,4,-4,69.21,1032.9,1,142,0,0,1,1
2012,1,12,6,4,-4,69.21,1032.9,1,0,0,0,1,5
2012,1,12,7,4,-3,80.19,1032.9,0,0,0,0,1,5
2012,1,12,8,4,-2,74.78,1032.9,2,2,0,0,1,1
2012,1,12,9,4,-2,64.9,1031.8,4,0,0,0,1,5
2012,1,12,10,4,-3,52.41,1031.8,6,2,0,0,1,2
2012,1,12,11,4,-4,45.4,1031.2,7,2,0,0,2,5
2012,1,12,12,4,-5,42.1,1029.1,7,2,0,0,2,2
2012,1,12,13,4,-5,39.32,1028.1,8,2,0,0,2,1
2012,1,12,14,4,-5,39.32,1027.1,8,2,0,0,2,2
2012,1,12,15,4,-4,42.4,1027.1,8,5,0,0,3,2
2012,1,12,16,4,-4,42.4,1027.1,8,4,0,0,3,4
2012,1,12,17,4,-4,42.4,1027.1,8,7,0,0,2,4
2012,1,12,18,4,-2,52.7,1027.1,7,4,0,0,2,2
2012,1,12,19,4,-1,56.72,1027.1,7,7,0,0,2,2
2012,1,12,20,4,-1,60.76,1027.1,6,10,0,0,2,2
2012,1,12,21,4,-1,60.76,1027.1,6,12,0,0,2,2
2012,1,12,22,4,-1,60.76,1027.1,6,14,0,0,2,2
2012,1,12,23,4,-1,56.72,1027.1,7,1,0,0,2,1
2012,1,13,0,4,-1,60.76,1027.1,6,1,0,0,2,5
2012,1,13,1,4,-1,60.76,1027.1,6,1,0,0,2,5
2012,1,13,2,4,0,65.36,1026.1,6,1,0,0,2,5
2012,1,13,3,4,0,65.36,1026.1,6,1,0,0,2,3
2012,1,13,4,4,1,70.27,1026.1,6,2,0,0,2,1
2012,1,13,5,4,0,65.36,1026.1,6,5,0,0,2,1
2012,1,13,6,4,0,65.36,1027.1,6,7,0,0,2,1
2012,1,13,7,4,0,65.36,1027.1,6,9,0,0,2,1
2012,1,13,8,4,1,70.27,1027.1,6,11,0,0,2,1
2012,1,13,9,4,2,70.47,1028.1,7,13,0,0,2,1
2012,1,13,10,4,1,65.59,1028.1,7,16,0,0,3,1
2012,1,13,11,4,1,61.26,1027.1,8,19,0,0,3,1
2012,1,13,12,4,0,56.99,1026.1,8,22,0,0,4,1
2012,1,13,13,4,-1,52.98,1026.1,8,25,0,0,4,1
2012,1,13,14,4,-1,52.98,1025.1,8,27,0,0,4,1
2012,1,13,15,4,-1,52.98,1025.1,8,30,0,0,4,1
2012,1,13,16,4,0,61.01,1025.1,7,33,0,0,3,1
2012,1,13,17,4,1,65.59,1025.1,7,36,0,0,3,1
2012,1,13,18,4,1,65.59,1026.1,7,39,0,0,3,1
2012,1,13,19,4,1,65.59,1026.1,7,41,0,0,3,1
2012,1,13,20,4,1,65.59,1026.1,7,43,0,0,3,1
2012,1,13,21,4,1,70.27,1026.1,6,46,0,0,3,1
2012,1,13,22,4,2,75.49,1025.1,6,49,0,0,3,1
2012,1,13,23,4,3,81.06,1025.1,6,52,0.2,0.2,3,1
2012,1,14,0,4,3,81.06,1025.1,6,55,0.5,0.7,3,1
2012,1,14,1,4,3,81.06,1024,6,58,1,1.7,3,1
2012,1,14,2,4,3,86.89,1024,5,62,2.5,4.2,3,1
2012,1,14,3,4,3,86.89,1024,5,65,3.3,7.5,3,1
2012,1,14,4,4,3,93.19,1024,4,69,2.1,9.6,3,1
2012,1,14,5,4,2,86.79,1024,4,73,2.1,11.7,2,1
2012,1,14,6,4,2,86.79,1024,4,78,1.9,13.6,2,1
2012,1,14,7,4,3,93.19,1024,4,81,0.8,14.4,2,1
2012,1,14,8,4,3,93.19,1024,4,84,0.9,15.3,2,1
2012,1,14,9,4,3,93.19,1025.1,4,87,0.9,16.2,2,1
2012,1,14,10,4,3,86.89,1025.1,5,90,0.6,16.8,2,1
2012,1,14,11,4,4,93.24,1024,5,93,1.1,17.9,2,1
2012,1,14,12,4,4,86.99,1023,6,96,0.3,18.2,2,1
2012,1,14,13,4,5,93.29,1022,6,99,0.6,18.8,2,1
2012,1,14,14,4,5,93.29,1021,6,102,0.9,19.7,2,1
2012,1,14,15,4,5,93.29,1021,6,106,0.9,20.6,2,1
2012,1,14,16,4,5,93.29,1021,6,110,1.3,21.9,2,1
2012,1,14,17,4,5,93.29,1021,6,114,0.8,22.7,2,1
2012,1,14,18,4,5,93.29,1022,6,119,0.4,23.1,3,1
2012,1,14,19,4,5,93.29,1021,6,123,0.1,23.2,3,1
2012,1,14,20,4,6,93.35,1021,7,127,0.5,23.7,3,1
2012,1,14,21,4,6,93.35,1021,7,130,1.2,24.9,2,1
2012,1,14,22,4,6,93.35,1021,7,135,0.5,25.4,1,1
2012,1,14,23,4,5,93.29,1021,6,142,0.7,26.1,1,1
2012,1,15,0,4,4,86.99,1021,6,147,1.1,27.2,1,1
2012,1,15,1,4,4,86.99,1021,6,151,0.3,27.5,1,1
2012,1,15,2,4,4,86.99,1021,6,156,0,0,1,1
2012,1,17,3,4,-1,80.49,1021,2,2,0,0,1,3
2012,1,17,4,4,-1,86.47,1021,1,0,0,0,1,5
2012,1,17,5,4,-1,86.47,1022,1,1,0,0,1,5
2012,1,17,6,4,0,93.02,1022,1,1,0,0,1,5
2012,1,17,7,4,-1,86.47,1023,1,1,0,0,2,5
2012,1,17,8,4,2,93.13,1022,3,2,0,0,2,1
2012,1,17,9,4,1,70.27,1023,6,5,0,0,1,1
2012,1,17,11,4,0,53.26,1023,9,11,0,0,1,1
2012,1,17,12,4,0,49.8,1021,10,3,0,0,1,2
2012,1,17,13,4,0,49.8,1020,10,3,0,0,1,1
2012,1,17,14,4,2,53.81,1020,11,5,0,0,1,1
2012,1,17,15,4,3,61.76,1019,10,7,0,0,1,1
2012,1,17,16,4,2,57.51,1020,10,11,0,0,1,1
2012,1,17,17,4,0,53.26,1020,9,16,0,0,1,1
2012,1,17,18,4,1,61.26,1021,8,4,0,0,1,2
2012,1,17,19,4,1,61.26,1021,8,4,0,0,1,1
2012,1,17,20,4,1,65.59,1022,7,7,0,0,1,1
2012,1,17,21,4,1,65.59,1022,7,10,0,0,1,1
2012,1,17,22,4,1,65.59,1021,7,13,0,0,1,1
2012,1,17,23,4,1,65.59,1022,7,17,0,0,1,1
2012,1,18,0,4,2,70.47,1021,7,20,0,0,1,1
2012,1,18,1,4,2,70.47,1019,7,25,0,0,1,1
2012,1,18,2,4,2,65.82,1020,8,28,0,0,1,1
2012,1,18,3,4,2,65.82,1019,8,31,0,0,1,1
2012,1,18,4,4,2,65.82,1019,8,34,0.1,0.1,1,1
2012,1,18,5,4,3,75.67,1019,7,38,0,0,1,1
2012,1,18,6,4,4,81.2,1019,7,42,0,0,1,1
2012,1,18,7,4,4,81.2,1020,7,47,0,0,1,1
2012,1,18,8,4,4,75.84,1020,8,52,0,0,1,1
2012,1,18,9,4,4,75.84,1021,8,57,0.1,0.1,1,1
2012,1,18,10,4,5,81.34,1021,8,61,0.1,0.2,1,1
2012,1,18,11,4,5,81.34,1020,8,65,0,0,1,1
2012,1,18,12,4,5,81.34,1019,8,70,0.2,0.2,1,1
2012,1,18,13,4,5,81.34,1018,8,75,0.2,0.4,2,1
2012,1,18,14,4,5,81.34,1018,8,79,1.2,1.6,1,1
2012,1,18,15,4,5,81.34,1018,8,83,1.1,2.7,1,1
2012,1,18,16,4,5,87.09,1018,7,89,1.2,3.9,1,1
2012,1,18,17,4,5,87.09,1019,7,95,0.6,4.5,2,1
